Title,Genre,Duration,Rating,Voting
The Thundermans Return,Thriller,1h 10m,5.0,1.9K
Dedalus,Thriller,1h 32m,7.8,48
Spark,Thriller,1h 50m,5.4,63
The Shameless,Thriller,1h 54m,5.9,325
Crescent City,Thriller,1h 43m,3.9,1.5K
Bade Miyan Chote Miyan,Thriller,2h 43m,3.8,40K
Iconic,Thriller,1h 30m,5.2,451
Freedom,Thriller,1h 50m,5.9,1.5K
Beyond the Rush,Thriller,1h 34m,8.6,946
N/A,Thriller,N/A,N/A,N/A
The Silent Planet,Thriller,1h 35m,4.7,301
Harbin,Thriller,1h 48m,6.2,1K
Hijack 1971,Thriller,1h 40m,6.8,3.5K
Dominique,Thriller,1h 40m,5.3,2.4K
Colors of Evil: Red,Thriller,1h 51m,6.4,8.8K
Last Night on Earth,Thriller,1h 26m,4.7,421
Marmalade,Thriller,1h 39m,6.3,3.8K
Bagheera,Thriller,2h 38m,6.7,7.7K
McVeigh,Thriller,1h 30m,4.5,595
Clear Cut,Thriller,1h 28m,3.7,595
Arena Wars,Thriller,1h 36m,5.5,3.2K
The Image of You,Thriller,1h 30m,4.6,900
Death Whisperer 2,Thriller,1h 50m,6.3,1.6K
Operation: Raqqa,Thriller,1h 47m,5.6,315
Hunt,Thriller,2h,3.8,146
Hunting Matthew Nichols,Thriller,1h 36m,8.8,52
Waves,Thriller,2h 11m,7.9,2.1K
Black Cab,Thriller,1h 28m,4.1,1.9K
Mandara,Thriller,2h 12m,7.8,78
Shell,Thriller,1h 40m,6.8,79
What Happened to Suzy,Thriller,1h 34m,6.4,89
Abraham Ozler,Thriller,2h 23m,6.6,4.5K
Article 370,Thriller,2h 38m,7.8,25K
Out Come the Wolves,Thriller,1h 26m,4.7,1.8K
Fear,Thriller,1h 55m,8.1,2.8K
Blink,Thriller,2h 16m,6.9,1.6K
Sugar Baby,Thriller,1h 28m,3.9,419
Gazer,Thriller,1h 54m,6.0,208
Held Hostage in My House,Thriller,1h 30m,4.7,150
Eat the Night,Thriller,1h 46m,6.0,586
Seeds,Thriller,1h 22m,4.9,240
The Haunted Apartment: Miss K,Thriller,1h 43m,5.6,508
Boundless,Thriller,2h 1m,5.6,2.1K
She Came Back,Thriller,1h 23m,5.3,101
Blame the Game,Thriller,1h 32m,5.4,5.4K
Viduthalai Part 2,Thriller,2h 50m,7.8,17K
Mond,Thriller,1h 32m,7.0,349
Bogota: City of the Lost,Thriller,1h 48m,5.4,2.1K
Invasion,Thriller,1h 31m,4.8,759
Goldilocks and the Three Bears: Death and Porridge,Thriller,1h 22m,2.2,2K
Disciples in the Moonlight,Thriller,2h 6m,3.8,698
Bosco,Thriller,1h 39m,5.5,4K
Merry Christmas,Thriller,2h 24m,6.9,30K
Demonte Colony 2,Thriller,2h 24m,6.6,4.6K
Escape,Thriller,1h 34m,6.4,2.3K
Frankenstein: Legacy,Thriller,1h 41m,3.7,212
Campton Manor,Thriller,1h 23m,3.4,245
Anweshippin Kandethum,Thriller,2h 22m,7.4,11K
Boksi Ko Ghar,Thriller,1h 56m,7.7,960
Cinderella's Curse,Thriller,1h 22m,3.4,1.4K
N/A,Thriller,N/A,N/A,N/A
Where Is Gilgamesh?,Thriller,1h 30m,8.9,639
Kurukku,Thriller,1h 49m,6.3,541
