Title,Genre,Duration,Rating,Voting
Arthur's Whisky,Comedy,1h 34m,4.7,1K
Die Hart 2: Die Harter,Comedy,1h 32m,4.3,5.7K
Boot Camp,Comedy,1h 34m,5.8,1.3K
The Pee Pee Poo Poo Man,Comedy,1h 19m,7.7,44
Sex-Positive,Comedy,1h 25m,4.1,810
Adult Best Friends,Comedy,1h 30m,5.2,575
Love in the Big City,Comedy,1h 58m,7.4,1.8K
Babes,Comedy,1h 44m,6.3,6.6K
The Fabulous Four,Comedy,1h 38m,4.8,1.7K
The Supremes at Earl's All-You-Can-Eat,Comedy,2h 4m,6.5,1.5K
The Problem with People,Comedy,1h 42m,5.7,562
Space Cadet,Comedy,1h 50m,5.0,10K
The Mouse Trap,Comedy,1h 20m,2.4,3.6K
Peacock,Comedy,1h 42m,7.2,739
Crayon Shin-chan: Our Dinosaur Diary,Comedy,1h 46m,6.6,633
Standing on the Shoulders of Kitties,Comedy,1h 51m,6.2,680
Stealing Pulp Fiction,Comedy,1h 18m,6.0,54
Mukadderat,Comedy,1h 30m,7.0,1.6K
Let's Start a Cult,Comedy,1h 30m,5.9,1.6K
Through My Window: Looking at You,Comedy,1h 45m,5.5,5.6K
That Christmas,Comedy,1h 31m,6.8,17K
How to Make a Killing,Comedy,1h 49m,6.5,1.5K
Don't Tell Mom the Babysitter's Dead,Comedy,1h 39m,3.8,1.3K
Do Aur Do Pyaar,Comedy,2h 20m,6.4,12K
Miracle Mirrors,Comedy,1h 43m,5.4,396
Players,Comedy,1h 45m,5.7,12K
Jaaiye Aap Kahan Jaayenge,Comedy,1h 59m,8.7,59
Un altro ferragosto,Comedy,1h 55m,5.7,653
I Love You Forever,Comedy,1h 29m,5.6,219
The 4:30 Movie,Comedy,1h 27m,6.0,4K
Boy Kaldag,Comedy,1h 34m,5.5,192
Lake George,Comedy,1h 58m,6.5,1.6K
Pabar,Comedy,2h 39m,8.2,283
Buffalo Kids,Comedy,1h 33m,6.6,793
Madgaon Express,Comedy,2h 23m,7.0,41K
Vaazha: Biopic of a Billion Boys,Comedy,2h 5m,7.3,4.7K
Believe in Christmas,Comedy,1h 30m,6.1,870
Everybody Loves Jenifa,Comedy,2h 15m,8.4,103
Ajosepo,Comedy,2h 14m,8.8,72
Vulgar,Comedy,1h 43m,5.4,205
Hisaab Barabar,Comedy,1h 52m,5.8,1.9K
Handsome Guys,Comedy,1h 41m,6.5,990
Khel Khel Mein,Comedy,2h 15m,6.5,28K
Summer Camp,Comedy,1h 35m,4.5,1.7K
This Is Me... Now,Comedy,1h 5m,4.1,7.2K
My Ex's Wedding,Comedy,1h 35m,8.8,58
Am I Racist?,Comedy,1h 40m,6.6,17K
U Are the Universe,Comedy,1h 30m,7.6,419
Crew,Comedy,1h 58m,5.8,38K
Bau: Artist at War,Comedy,2h 10m,7.2,65
Tim Travers & the Time Travelers Paradox,Comedy,1h 35m,6.8,354
A Little Something Extra,Comedy,1h 39m,7.0,5.3K
The Thundermans Return,Comedy,1h 10m,5.0,1.9K
Dedalus,Comedy,1h 32m,7.8,48
Takintilar,Comedy,1h 36m,5.3,3K
Invention,Comedy,1h 12m,5.9,119
Saving Bikini Bottom: The Sandy Cheeks Movie,Comedy,1h 22m,3.7,4.1K
Baby Assassins: Nice Days,Comedy,1h 43m,7.2,380
This Time Next Year,Comedy,1h 56m,5.6,2.4K
You Are the Apple of My Eye,Comedy,1h 41m,6.8,3.8K
Bring on the Damned!,Comedy,1h 54m,5.0,49
Swamp Dogg Gets His Pool Painted,Comedy,1h 35m,8.3,99
How Could I Live Without You?,Comedy,1h 45m,6.9,1.1K
