Title,Genre,Duration,Rating,Voting
Devon,Horror,1h 12m,2.6,325
Exorcism Chronicles: The Beginning,Horror,1h 25m,6.4,136
Drained,Horror,1h 47m,4.5,333
Death Whisperer 2,Horror,1h 50m,6.3,1.6K
Hunting Matthew Nichols,Horror,1h 36m,8.8,52
Black Cab,Horror,1h 28m,4.1,1.9K
Swap,Horror,1h 26m,2.9,383
Up the Catalogue,Horror,1h 12m,8.1,10
Shell,Horror,1h 40m,6.8,79
What Happened to Suzy,Horror,1h 34m,6.4,89
The Curse of the Necklace,Horror,1h 39m,4.4,1.4K
N/A,Horror,N/A,N/A,N/A
Out Come the Wolves,Horror,1h 26m,4.7,1.8K
Spin the Bottle,Horror,2h 4m,3.5,1.1K
Carved,Horror,1h 35m,4.4,2.9K
The Killgrin,Horror,1h 23m,6.1,85
Lopaliki Ra Chepta,Horror,1h 52m,8.1,1.5K
Seeds,Horror,1h 22m,4.9,240
The Haunted Apartment: Miss K,Horror,1h 43m,5.6,508
Kalinga,Horror,1h 56m,6.6,9.5K
Heresy,Horror,1h 1m,6.9,319
Destroy All Neighbors,Horror,1h 25m,5.3,2.1K
Goldilocks and the Three Bears: Death and Porridge,Horror,1h 22m,2.2,2K
The Ceremony Is About to Begin,Horror,1h 10m,4.4,837
Demonte Colony 2,Horror,2h 24m,6.6,4.6K
The Containment,Horror,1h 22m,4.7,73
Chain Reactions,Horror,1h 43m,7.1,116
The Ghost,Horror,1h 32m,6.3,130
Campton Manor,Horror,1h 23m,3.4,245
Cinderella's Curse,Horror,1h 22m,3.4,1.4K
Broken Bird,Horror,1h 39m,5.8,129
Frankie Freako,Horror,1h 25m,5.5,1.4K
House of Spoils,Horror,1h 41m,5.0,4K
Milk & Serial,Horror,1h 2m,6.6,2.7K
You Can't Run Forever,Horror,1h 42m,4.5,4.5K
Love Me Dead,Horror,1h 27m,6.8,44
Street Trash,Horror,1h 25m,4.5,965
Barda,Horror,1h 39m,4.6,692
Crackcoon,Horror,1h 28m,3.6,458
Sunrise,Horror,1h 33m,3.9,1.2K
#AMFAD: All My Friends Are Dead,Horror,1h 31m,4.5,1.3K
Slay,Horror,1h 39m,6.5,1.2K
Krazy House,Horror,1h 29m,4.8,1.5K
The Witch: Revenge,Horror,1h 40m,5.3,889
Operation Laila,Horror,2h 3m,5.5,56
Do Not Enter,Horror,1h 25m,5.3,673
Devils Stay,Horror,1h 35m,4.8,355
Dr. Sander's Sleep Cure,Horror,1h 42m,6.4,1.2K
Operation Undead,Horror,1h 50m,4.7,450
Monster on a Plane,Horror,1h 28m,4.6,2.4K
The Matriarch,Horror,1h 22m,6.5,29
Peripheral,Horror,1h 28m,9.4,44
Una ballena,Horror,1h 48m,5.6,188
Hauntology,Horror,1h 43m,3.7,374
Jurassic Triangle,Horror,1h 24m,2.4,291
404 Run Run,Horror,1h 44m,5.7,507
Horror in the High Desert 3: Firewatch,Horror,1h 28m,5.4,777
The Gesuidouz,Horror,1h 33m,6.7,100
Haunt Season,Horror,1h 21m,4.9,907
Rita,Horror,1h 47m,5.7,301
N/A,Horror,N/A,N/A,N/A
Continente,Horror,1h 55m,5.1,98
A Stranger in the Woods,Horror,1h 23m,4.8,710
N/A,Horror,N/A,N/A,N/A
"Hemet, or the Landlady Don't Drink Tea",Horror,1h 29m,4.3,96
Air Fryer Slaughter,Horror,1h 30m,6.3,569
Oculus,Horror,1h 53m,6.0,15
Dead Whisper,Horror,1h 28m,3.8,566
Séance,Horror,1h 25m,8.0,27
N/A,Horror,N/A,N/A,N/A
The Vampire Next Door,Horror,1h 50m,4.6,807
N/A,Horror,N/A,N/A,N/A
Anaconda,Horror,1h 24m,4.9,682
I'll Play Mother,Horror,1h 48m,5.1,111
Conjuring the Cult,Horror,1h 33m,4.3,942
Succubus,Horror,1h 36m,3.5,902
Saint Catherine,Horror,1h 26m,3.5,264
Ghost Game,Horror,1h 26m,3.4,382
Latency,Horror,1h 34m,4.2,3K
Rippy,Horror,1h 23m,4.2,1K
The Bunker,Horror,1h 32m,4.3,367
Hell Hole,Horror,1h 32m,4.4,1.4K
Blood Star,Horror,1h 37m,6.3,6.2K
Gacy: Serial Killer Next Door,Horror,1h 37m,3.3,487
Heretics,Horror,1h 23m,3.8,109
X Files,Horror,1h 14m,2.3,73
Fear Cabin: The Last Weekend of Summer,Horror,1h 17m,3.5,19
The Moogai,Horror,1h 26m,5.4,421
Scurry,Horror,1h 30m,7.6,26
Mummy Shark,Horror,1h 6m,1.9,211
Monster Mash,Horror,1h 25m,3.5,457
The Little Mermaid,Horror,1h 29m,3.5,218
Dancing Village: The Curse Begins,Horror,2h 2m,5.7,4.3K
Bureau 749,Horror,2h 3m,3.9,588
Mother Father Sister Brother Frank,Horror,1h 25m,5.8,308
Tantra,Horror,2h 16m,4.9,2.4K
DarkGame,Horror,1h 40m,4.6,2.9K
Bystanders,Horror,1h 22m,4.0,397
Angels Fallen: Warriors of Peace,Horror,1h 43m,4.9,6.5K
Desert Fiends,Horror,1h 46m,4.9,882
Amityville: Where the Echo Lives,Horror,1h 29m,1.5,451
Its Name Was Mormo,Horror,1h 33m,3.8,172
Cinderella's Revenge,Horror,1h 25m,3.7,1.2K
Animale,Horror,1h 38m,5.8,341
We Are Wolves,Horror,1h 37m,3.4,274
Unspeakable: Beyond the Wall of Sleep,Horror,1h 30m,4.0,138
From Darkness,Horror,1h 35m,4.9,607
Granny,Horror,40m,8.0,7
The Woods,Horror,1h 16m,3.9,79
The Forbidden Camp: Mass Possession,Horror,1h 52m,6.1,383
The Train of Death,Horror,1h 43m,4.7,729
Believer,Horror,1h 48m,4.6,444
Mutants of Nature Cove,Horror,1h 28m,3.6,167
Seven Cemeteries,Horror,1h 24m,4.6,672
Baby Invasion,Horror,1h 20m,4.6,605
Pacific Fear,Horror,1h 25m,3.5,313
Invader,Horror,1h 10m,4.6,166
Siccin 7,Horror,1h 34m,4.0,1.1K
Love Me If You Dare,Horror,2h 8m,4.3,484
Kakuda,Horror,1h 56m,5.4,6.4K
Espantaho,Horror,1h 30m,4.8,243
N/A,Horror,N/A,N/A,N/A
Paranoia,Horror,1h 35m,4.1,409
Aranmanai 4,Horror,2h 28m,5.0,2.4K
Curse of the Seven Oceans,Horror,1h 34m,5.5,530
Operation Blood Hunt,Horror,1h 33m,3.4,531
Poison Sangga: The Homewrecker's Curse,Horror,1h 58m,6.8,384
Sattam En Kaiyil,Horror,2h 4m,7.9,2.3K
Cara,Horror,1h 36m,6.1,62
Possessions,Horror,1h 29m,3.7,887
Mom,Horror,1h 35m,5.2,237
The Demon Disorder,Horror,1h 26m,4.8,1.4K
Alien Country,Horror,1h 36m,4.5,418
Witch Hunter,Horror,1h 20m,4.4,32
Vina: Before 7 Days,Horror,1h 40m,5.4,612
Butchers Book Two: Raghorn,Horror,1h 28m,4.1,670
